OBJECTID,PLAN_ID,ES_HOME,MS_HOME,HS_HOME,PHASEOUT,STUDNT_POP,GR0_POP,GR1_POP,GR2_POP,GR3_POP,GR4_POP,GR5_POP,GR6_POP,GR7_POP,GR8_POP,GR9_POP,GR10_POP,GR11_POP,GR12_POP,ESPROJ0,MSPROJ0,HSPROJ0,ESPROJ1,MSPROJ1,HSPROJ1,ESPROJ2,MSPROJ2,HSPROJ2,ESPROJ3,MSPROJ3,HSPROJ3,ESPROJ4,MSPROJ4,HSPROJ4,ESPROJ5,MSPROJ5,HSPROJ5,ESPROJ6,MSPROJ6,HSPROJ6,ESPROJ7,MSPROJ7,HSPROJ7,ESPROJ8,MSPROJ8,HSPROJ8,SFD1,SFD2,SFD3,SFD4,SFD5,SFD6,SFD7,SFD8,SFA1,SFA2,SFA3,SFA4,SFA5,SFA6,SFA7,SFA8,APT1,APT2,APT3,APT4,APT5,APT6,APT7,APT8,KSPROJ0,KSPROJ1,KSPROJ2,KSPROJ3,KSPROJ4,KSPROJ5,KSPROJ6,KSPROJ7,KSPROJ8,SFD9,SFD10,SFD11,SFD12,SFD13,SFD14,SFD15,SFA9,SFA10,SFA11,SFA12,SFA13,SFA14,SFA15,APT9,APT10,APT11,APT12,APT13,APT14,APT15,KSPROJ9,ESPROJ9,MSPROJ9,HSPROJ9,KSPROJ10,ESPROJ10,MSPROJ10,HSPROJ10,KSPROJ11,ESPROJ11,MSPROJ11,HSPROJ11,KSPROJ12,ESPROJ12,MSPROJ12,HSPROJ12,KSPROJ13,ESPROJ13,MSPROJ13,HSPROJ13,KSPROJ14,ESPROJ14,MSPROJ14,HSPROJ14,DONE
,1,Forest Ridge ES,Patuxent Valley MS,Reservoir HS,,108,8,14,8,5,13,4,13,8,8,4,5,12,6,44,29,27,45,26,32,43,27,34,43,26,35,46,27,36,45,25,36,47,25,37,49,25,37,52,25,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,9,8,10,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,53,26,36,10,56,27,36,10,56,28,36,10,56,28,37,10,55,29,37,10,54,29,38,
,2,Laurel Woods ES,Murray Hill MS,Reservoir HS,,147,10,10,9,9,12,11,15,10,16,8,11,14,12,51,42,45,52,36,49,50,37,50,48,37,51,47,39,52,45,37,53,44,35,53,43,34,53,42,35,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,10,8,9,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,34,52,9,42,34,52,9,42,32,51,9,43,32,52,10,44,32,51,10,44,31,51,
,3,Gorman Crossing ES,Murray Hill MS,Reservoir HS,,203,11,15,17,17,16,17,13,20,15,18,20,10,14,82,49,60,84,52,63,85,55,67,86,57,69,85,61,73,88,60,76,88,59,78,88,57,79,85,61,79,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,13,10,11,10,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,83,61,80,9,82,60,80,9,80,58,80,9,78,58,82,9,77,58,81,9,76,57,82,
,4,Forest Ridge ES,Patuxent Valley MS,Hammond HS,,22,0,2,4,2,3,1,2,1,2,2,1,1,1,12,5,5,12,6,6,12,7,6,12,7,7,12,7,7,12,7,7,13,6,8,13,7,8,14,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,8,0,21,7,9,0,21,8,9,0,21,8,9,0,21,9,10,0,22,9,10,
,5,Gorman Crossing ES,Murray Hill MS,Atholton HS,,195,13,11,13,15,16,17,13,16,15,19,17,15,15,72,45,73,73,46,74,74,48,76,75,50,77,73,54,79,75,52,80,76,51,81,75,50,84,73,53,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,15,12,12,12,12,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,72,53,84,10,71,52,86,10,69,51,86,10,67,50,89,10,66,50,89,10,66,49,89,
,6,Gorman Crossing ES,Murray Hill MS,Atholton HS,,77,9,2,5,9,5,6,9,7,6,3,9,4,3,27,22,21,37,21,29,73,27,37,74,34,39,73,40,42,74,41,46,75,42,49,74,42,53,75,46,55,20,88,1,0,0,0,0,7,12,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,12,22,19,19,19,19,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,74,46,58,16,73,47,60,16,71,46,61,17,69,46,65,17,68,46,66,17,67,45,68,
,7,Fulton ES,Hammond MS,Reservoir HS,,138,9,5,10,10,9,12,5,10,18,7,11,18,14,47,33,50,49,29,47,51,28,46,51,29,44,53,31,45,55,31,45,54,34,45,54,36,46,55,36,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,8,10,9,9,9,9,8,19,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,58,36,47,8,55,37,47,8,53,37,47,7,51,37,49,7,50,37,49,8,50,40,49,
,8,Fulton ES,Lime Kiln MS,Reservoir HS,,88,7,6,5,9,9,7,10,2,5,8,4,8,8,37,17,28,38,21,25,40,22,27,40,24,28,42,24,30,43,25,31,42,26,32,43,26,32,43,27,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,8,7,7,7,7,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,44,27,33,6,42,28,34,6,41,29,34,6,39,29,35,6,38,28,35,6,37,28,36,
,9,Hammond ES,Hammond MS,Reservoir HS,,65,4,6,8,3,3,5,6,5,7,5,3,4,6,25,18,18,25,15,20,25,15,21,25,15,21,25,16,21,25,16,22,26,17,22,26,18,22,26,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,18,23,6,29,18,23,6,30,18,23,5,30,18,24,6,30,19,24,7,28,20,24,
,10,Hammond ES,Hammond MS,Atholton HS,,71,8,4,5,7,8,7,5,5,3,8,3,4,4,31,13,21,32,16,21,31,17,23,31,17,24,31,18,25,31,19,26,32,20,27,32,21,28,32,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,9,8,9,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,21,30,13,36,22,30,12,37,22,31,10,38,22,33,12,37,23,33,13,35,25,34,
