"school","capacity","level"
"Forest Ridge ES",713,"elem"
"Laurel Woods ES",640,"elem"
"Gorman Crossing ES",735,"elem"
"Fulton ES",788,"elem"
"Hammond ES",653,"elem"
"Atholton ES",424,"elem"
"Centennial Lane ES",647,"elem"
"Bollman Bridge ES",666,"elem"
"Guilford ES",465,"elem"
"Clarksville ES",612,"elem"
"Waverly ES",738,"elem"
"Deep Run ES",772,"elem"
"Manor Woods ES",681,"elem"
"Rockburn ES",653,"elem"
"Ducketts Lane ES",770,"elem"
"St Johns Lane ES",612,"elem"
"Elkridge ES",760,"elem"
"Cradlerock ES",398,"elem"
"Talbott Springs ES",377,"elem"
"Swansfield ES",621,"elem"
"Jeffers Hill ES",421,"elem"
"Clemens Crossing ES",521,"elem"
"Stevens Forest ES",399,"elem"
"Pointers Run ES",744,"elem"
"Thunder Hill ES",509,"elem"
"Phelps Luck ES",616,"elem"
"Waterloo ES",663,"elem"
"Bellows Spring ES",751,"elem"
"Ilchester ES",653,"elem"
"Worthington ES",590,"elem"
"Veterans ES",821,"elem"
"Hollifield Station ES",694,"elem"
"Dayton Oaks ES",788,"elem"
"Bryant Woods ES",361,"elem"
"Running Brook ES",515,"elem"
"Longfellow ES",512,"elem"
"Northfield ES",700,"elem"
"Triadelphia Ridge ES",581,"elem"
"Bushy Park ES",766,"elem"
"West Friendship ES",414,"elem"
"Lisbon ES",527,"elem"
