school, utilization
Waverly ES, 107
Northfield ES, 101
Lisbon ES, 93
Bryant Woods ES, 160
Manor Woods ES, 95
Running Brook ES, 89
Ilchester ES, 101
Phelps Luck ES, 100
Dayton Oaks ES, 47
Atholton ES, 102
Veterans ES, 103
Fulton ES, 90
Talbott Springs ES, 98
Stevens Forest ES, 109
Bollman Bridge ES, 85
Worthington ES, 104
Clemens Crossing ES, 105
Rockburn ES, 103
Hollifield Station ES, 105
Gorman Crossing ES, 97
West Friendship ES, 74
Bushy Park ES, 64
Centennial Lane ES, 103
Longfellow ES, 103
Clarksville ES, 88
Forest Ridge ES, 126
Jeffers Hill ES, 108
Hammond ES, 73
Swansfield ES, 108
Deep Run ES, 98
St Johns Lane ES, 97
Triadelphia Ridge ES, 73
Thunder Hill ES, 62
Waterloo ES, 106
Cradlerock ES, 106
Laurel Woods ES, 106
Elkridge ES, 104
Pointers Run ES, 100
Guilford ES, 109
Bellows Spring ES, 204
Patapsco MS, 109
Murray Hill MS, 101
Oakland Mills MS, 105
Clarksville MS, 108
Ellicott Mills MS, 109
Mayfield Woods MS, 108
Bonnie Branch MS, 103
Burleigh Manor MS, 108
Mount View MS, 62
Glenwood MS, 100
Harpers Choice MS, 104
Elkridge Landing MS, 91
Folly Quarter MS, 69
Lime Kiln MS, 80
Lake Elkhorn MS, 75
Thomas Viaduct MS, 78
Patuxent Valley MS, 109
Dunloggin MS, 99
Hammond MS, 100
Wilde Lake MS, 98
Marriotts Ridge HS, 80
Centennial HS, 69
Mt Hebron HS, 109
Atholton HS, 115
River Hill HS, 85
Reservoir HS, 108
Wilde Lake HS, 76
Hammond HS, 107
Glenelg HS, 90
Oakland Mills HS, 109
Howard HS, 107
Long Reach HS, 108
